# ========
# captured on: Mon Nov 10 22:29:07 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_32.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16193, 16194, 16195, 16196, 16197, 16198, 16199, 16200, 16201, 16202, 16203, 16204, 16205, 16206, 16207, 16208, 16209, 16210, 16211, 16212, 16213, 16214, 16215, 16216, 16217, 16218, 16219, 16220, 16221, 16222, 16223, 16224, 16225, 16226, 16227, 16228, 16229, 16230, 16231, 16232, 16233, 16234, 16235, 16236, 16237, 16238, 16239, 16240, 16241, 16242, 16243, 16244, 16245, 16246, 16247, 16248, 16249, 16250, 16251, 16252, 16253, 16254, 16255, 16256 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 13K of event 'page-faults'
# Event count (approx.): 200987
#
# Overhead,Command,Shared Object,Symbol
0.01,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::normal_iterator<unsigned int*> thrust::system::detail::generic::exclusive_scan<thrust::system::omp::detail::par_t, thrust::detail::normal_iterator<unsigned int*>, thrust::detail::normal_iterator<unsigned int*>, unsigned int>(thrust::execution_policy<thrust::system::omp::detail::par_t>&, thrust::detail::normal_iterator<unsigned int*>, thrust::detail::normal_iterator<unsigned int*>, thrust::detail::normal_iterator<unsigned int*>, unsigned int)  
0.01,     dress,libChronoEngine_Parallel.so,[.] chrono::Orthogonalize(real3&, real3&, real3&)                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid17host_shurB_normalERKfP4int2P5bool2P5real3P5real4PfS8_S8_S8_S8_SB_._omp_fn.22                                                                                                                                                                                                                                                                                                                                                               
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono16ChSolverParallel5SetupEPNS_21ChParallelDataManagerE._omp_fn.12                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono16ChSolverParallel5SetupEPNS_21ChParallelDataManagerE._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChQuaternion<double>::operator*=(double)                                                                                                                                                                                                                                                                                                                                                                                                                               
0.01,     dress,ld-2.12.so                 ,[.] brk                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.01,     dress,[kernel.kallsyms]          ,[k] 0xffffffff8128384f                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.00,     crond,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.00,     dress,libc-2.12.so               ,[.] __get_nprocs                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.00,     dress,libChronoEngine.so         ,[.] bool chrono::Vnotnull<double>(chrono::ChVector<double>*)                                                                                                                                                                                                                                                                                                                                                                                                                       
0.00,     dress,libChronoEngine.so         ,[.] chrono::ChVector<double> chrono::Vcross<double, double>(chrono::ChVector<double> const&, chrono::ChVector<double> const&)                                                                                                                                                                                                                                                                                                                                                      
0.00,     dress,ld-2.12.so                 ,[.] _dl_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
